episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
0,1,"[2, 2, 1, 2, 1]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': np.float64(0.23257689450206726), 'final': np.float64(0.23257689450206726), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,6,2,6,3,8,2,10,3,5,12,6,12,7,13,8,12,10,13
0,2,"[2, 3, 0, 0, 2]",0.0,5,5,11,5,11,not_applicable,False,0,0,"{'base': np.float64(0.2656954111578556), 'final': np.float64(0.2656954111578556), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,4,6,1,7,3,8,1,10,2,5,11,6,13,7,13,7,12,10,12
0,3,"[0, 0, 3, 2, 0]",0.0,5,4,11,4,11,not_applicable,False,0,0,"{'base': np.float64(0.25793087753742816), 'final': np.float64(0.25793087753742816), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,7,1,8,3,8,0,10,1,4,11,5,13,7,13,7,11,9,12
0,4,"[5, 2, 0, 2, 1]",0.0,8,7,10,7,10,not_applicable,False,0,0,"{'base': np.float64(0.3102314668433942), 'final': np.float64(0.3102314668433942), 'penalty': 0, 'defense_count': 0, 'defenders': []}",6,4,7,2,9,3,9,0,9,1,4,11,5,12,6,13,7,10,10,12
0,5,"[3, 0, 2, 5, 1]",0.0,7,6,12,6,12,not_applicable,False,0,0,"{'base': np.float64(0.23654018528566523), 'final': np.float64(0.23654018528566523), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,7,3,10,3,10,0,10,1,4,12,5,12,6,12,7,10,11,12
0,6,"[3, 1, 3, 0, 3]",0.0,7,6,13,6,13,not_applicable,False,0,0,"{'base': np.float64(0.20631563059364366), 'final': np.float64(0.20631563059364366), 'penalty': 0, 'defense_count': 0, 'defenders': []}",6,4,6,3,10,2,9,0,9,1,4,13,5,12,6,13,6,10,11,13
0,7,"[1, 0, 3, 0, 2]",0.0,7,6,13,6,13,not_applicable,False,0,0,"{'base': np.float64(0.20631563059364366), 'final': np.float64(0.20631563059364366), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,5,3,9,2,10,0,9,0,5,13,4,12,6,13,5,10,11,12
0,8,"[3, 2, 0, 1, 3]",0.0,7,6,13,6,13,not_applicable,False,0,0,"{'base': np.float64(0.20631563059364366), 'final': np.float64(0.20631563059364366), 'penalty': 0, 'defense_count': 0, 'defenders': []}",6,4,5,4,8,2,10,1,10,0,5,13,4,11,6,13,6,10,11,13
0,9,"[2, 2, 2, 0, 2]",0.0,7,6,12,6,12,not_applicable,False,0,0,"{'base': np.float64(0.23654018528566523), 'final': np.float64(0.23654018528566523), 'penalty': 0, 'defense_count': 0, 'defenders': []}",6,3,5,3,7,2,9,1,11,0,5,12,4,10,6,12,5,10,11,12
0,10,"[3, 3, 5, 0, 0]",0.0,9,10,12,10,12,not_applicable,False,0,0,"{'base': np.float64(0.22618655352128306), 'final': np.float64(0.22618655352128306), 'penalty': 0, 'defense_count': 0, 'defenders': []}",6,4,4,3,7,1,8,1,10,0,5,13,4,11,6,12,4,10,10,12
0,11,"[0, 3, 0, 3, 4]",0.0,9,10,12,10,12,shot_failed,True,0,0,"{'base': np.float64(0.22618655352128306), 'final': np.float64(0.22618655352128306), 'penalty': 0, 'defense_count': 0, 'defenders': []}",6,5,4,4,6,1,8,0,10,1,4,13,4,12,5,12,4,11,10,12
1,12,"[3, 3, 1, 2, 1]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,2,6,4,6,3,7,3,9,4,5,13,6,13,7,13,8,12,10,13
1,13,"[3, 3, 3, 2, 3]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,3,7,4,6,4,7,2,10,4,5,13,6,13,7,13,8,11,10,13
1,14,"[0, 2, 1, 1, 3]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': np.float64(0.1978696081563825), 'final': np.float64(0.1978696081563825), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,7,3,6,3,8,2,10,5,4,13,6,12,8,13,9,11,10,13
1,15,"[2, 2, 1, 3, 1]",0.0,5,4,12,4,12,not_applicable,False,0,0,"{'base': np.float64(0.22618655352128306), 'final': np.float64(0.22618655352128306), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,4,8,3,7,3,7,2,9,5,4,12,6,11,9,13,9,12,11,13
1,16,"[4, 0, 2, 3, 0]",0.6785596609115601,5,4,12,4,12,shot_successful,True,3,0,"{'base': np.float64(0.22618655352128306), 'final': np.float64(0.22618655352128306), 'penalty': 0, 'defense_count': 0, 'defenders': []}",3,4,9,3,7,4,7,3,8,5,4,12,5,11,9,13,9,12,10,13
2,17,"[3, 2, 1, 1, 2]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,3,5,3,6,3,8,2,9,2,5,13,6,12,7,13,8,13,9,12
2,18,"[5, 1, 1, 2, 1]",0.0,8,8,12,8,12,not_applicable,False,0,0,"{'base': np.float64(0.23654018528566523), 'final': np.float64(0.23654018528566523), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,4,4,3,7,3,7,2,9,3,5,13,7,12,7,13,8,12,10,12
