episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,probability,shot,done,score_red,score_blue,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
0,1,"[1, 2, 3, 0, 2]",0.0,5,5,13,5,13,,not_applicable,False,0,0,5,4,6,2,6,3,8,4,10,3,5,13,6,12,7,13,8,13,9,12
0,2,"[0, 0, 1, 0, 3]",0.0,5,4,13,4,13,,not_applicable,False,0,0,5,3,6,1,7,3,9,4,11,3,4,13,5,12,7,13,8,13,9,13
0,3,"[2, 1, 3, 0, 2]",0.0,5,4,12,4,12,,not_applicable,False,0,0,6,3,7,1,8,3,9,5,11,2,4,12,6,12,7,13,8,13,9,12
0,4,"[1, 3, 2, 1, 3]",0.0,5,5,12,5,12,,not_applicable,False,0,0,5,3,6,1,7,3,9,6,12,2,5,12,6,13,7,12,9,13,9,12
0,5,"[5, 0, 1, 0, 3]",0.0,6,5,13,5,13,,not_applicable,False,0,0,5,2,6,0,7,4,9,7,12,3,5,12,5,13,8,12,8,13,9,13
0,6,"[3, 0, 3, 3, 3]",0.0,6,4,13,4,13,,not_applicable,False,0,0,4,2,5,0,7,5,10,7,12,4,5,12,4,13,8,12,8,13,9,13
0,7,"[0, 1, 1, 1, 2]",0.0,6,5,13,5,13,,not_applicable,False,0,0,4,1,6,0,8,5,10,8,13,4,4,12,5,13,9,12,8,13,9,13
0,8,"[1, 5, 0, 2, 2]",0.0,7,8,12,8,12,,not_applicable,False,0,0,4,0,5,0,7,5,11,8,13,3,5,12,5,13,8,12,8,13,9,12
0,9,"[2, 1, 3, 3, 3]",0.0,7,8,12,8,12,,not_applicable,False,0,0,4,1,4,0,8,5,12,8,13,2,5,11,6,13,8,12,8,13,9,13
0,10,"[0, 2, 4, 3, 1]",0.0,7,8,12,8,12,,shot_failed,True,0,0,5,1,3,0,7,5,13,8,14,2,4,11,6,12,8,12,8,13,10,13
1,11,"[4, 1, 0, 1, 0]",0.0,5,5,13,5,13,,shot_failed,True,0,0,5,2,5,3,7,4,8,2,8,3,5,13,6,13,7,13,8,13,9,13
2,12,"[0, 0, 2, 3, 3]",0.0,5,4,13,4,13,,not_applicable,False,0,0,5,2,5,3,7,4,7,3,8,3,4,13,5,13,7,12,8,13,9,13
2,13,"[4, 0, 2, 0, 2]",0.0,5,4,13,4,13,,shot_failed,True,0,0,6,2,4,3,7,5,6,3,8,4,4,13,5,13,7,11,7,13,9,12
3,14,"[1, 2, 2, 2, 1]",0.0,5,5,13,5,13,,not_applicable,False,0,0,4,3,6,4,7,2,8,4,8,3,5,13,6,12,7,12,8,12,10,13
3,15,"[0, 2, 0, 0, 0]",0.0,5,4,13,4,13,,not_applicable,False,0,0,5,3,5,4,6,2,7,4,7,3,4,13,6,11,6,12,7,12,9,13
3,16,"[4, 0, 1, 3, 1]",0.0,5,4,13,4,13,,shot_failed,True,0,0,6,3,6,4,5,2,7,5,8,3,4,13,5,11,6,12,7,13,10,13
4,17,"[0, 1, 2, 3, 3]",0.0,5,4,13,4,13,,not_applicable,False,0,0,5,2,5,3,6,3,8,2,8,3,4,13,6,13,7,12,8,13,9,13
4,18,"[0, 0, 1, 0, 2]",0.0,5,3,13,3,13,,not_applicable,False,0,0,4,2,4,3,5,3,7,2,8,2,3,13,5,13,8,12,7,13,9,12
4,19,"[1, 3, 3, 3, 0]",0.0,5,4,13,4,13,,not_applicable,False,0,0,4,1,4,2,6,3,7,3,7,2,4,13,5,13,8,13,7,13,8,12
4,20,"[2, 2, 2, 3, 2]",0.0,5,4,12,4,12,,not_applicable,False,0,0,3,1,3,2,5,3,7,4,6,2,4,12,5,12,8,13,7,13,8,11
4,21,"[4, 1, 0, 0, 2]",0.0,5,4,12,4,12,,shot_failed,True,0,0,2,1,3,3,5,2,7,3,6,3,4,12,6,12,8,13,6,13,8,10
5,22,"[3, 0, 3, 3, 3]",0.0,5,5,13,5,13,,not_applicable,False,0,0,5,2,5,3,6,3,7,3,9,2,5,13,6,13,7,13,8,13,9,13
5,23,"[1, 1, 0, 2, 1]",0.0,5,5,13,5,13,,not_applicable,False,0,0,5,1,4,3,5,3,7,4,9,3,5,13,6,13,7,13,8,12,10,13
5,24,"[4, 3, 1, 2, 2]",0.0,5,5,13,5,13,,shot_failed,True,0,0,6,1,4,2,4,3,7,3,9,2,5,13,6,13,8,13,8,11,10,12
6,25,"[0, 3, 1, 2, 1]",0.0,5,4,13,4,13,,not_applicable,False,0,0,4,3,6,4,7,4,8,4,9,4,4,13,6,13,7,13,8,12,10,13
6,26,"[4, 3, 1, 3, 1]",0.0,5,4,13,4,13,,shot_failed,True,0,0,5,3,6,3,7,3,8,5,9,5,4,13,6,13,8,13,8,12,11,13
7,27,"[2, 0, 2, 1, 1]",0.0,5,5,12,5,12,,not_applicable,False,0,0,5,2,5,3,6,3,8,2,10,3,5,12,5,13,7,12,8,13,10,13
7,28,"[2, 0, 1, 3, 0]",0.0,5,5,11,5,11,,not_applicable,False,0,0,6,2,5,4,6,4,9,2,10,2,5,11,4,13,8,12,8,13,9,13
7,29,"[2, 0, 2, 2, 0]",0.0,5,5,10,5,10,,not_applicable,False,0,0,6,3,4,4,6,5,9,3,9,2,5,10,3,13,8,11,8,12,8,13
7,30,"[3, 0, 2, 2, 0]",0.0,5,5,11,5,11,,not_applicable,False,0,0,5,3,3,4,5,5,9,4,9,1,5,11,2,13,8,10,8,11,7,13
7,31,"[3, 1, 1, 0, 1]",0.0,5,5,12,5,12,,not_applicable,False,0,0,5,2,3,3,5,4,9,3,9,0,5,12,3,13,9,10,7,11,8,13
7,32,"[0, 2, 3, 2, 1]",0.0,5,4,12,4,12,,not_applicable,False,0,0,5,3,3,4,6,4,9,4,8,0,4,12,3,12,9,11,7,10,9,13
7,33,"[2, 3, 2, 1, 0]",0.0,5,4,11,4,11,,not_applicable,False,0,0,4,3,4,4,5,4,9,3,8,1,4,11,3,13,9,10,8,10,8,13
7,34,"[0, 0, 1, 0, 2]",0.0,5,3,11,3,11,,not_applicable,False,0,0,4,2,4,5,5,5,8,3,8,0,3,11,2,13,10,10,7,10,8,12
7,35,"[5, 3, 1, 3, 1]",0.0,7,11,10,11,10,,not_applicable,False,0,0,4,3,4,6,5,6,9,3,8,1,3,11,2,13,11,10,7,11,9,12
7,36,"[0, 2, 4, 1, 1]",0.0,7,11,10,11,10,,shot_failed,True,0,0,4,4,3,6,4,6,9,4,9,1,2,11,2,12,11,10,8,11,10,12
8,37,"[3, 0, 0, 3, 0]",0.0,5,5,13,5,13,,not_applicable,False,0,0,5,4,5,3,6,3,8,4,9,2,5,13,6,13,7,13,8,13,9,13
8,38,"[1, 2, 0, 1, 2]",0.0,5,5,13,5,13,,not_applicable,False,0,0,6,4,5,2,7,3,7,4,9,3,5,13,6,12,6,13,8,13,9,12
8,39,"[4, 0, 3, 1, 1]",0.6000000238418579,5,5,13,5,13,,shot_successful,True,3,0,6,3,4,2,7,2,6,4,9,2,5,13,5,12,6,13,9,13,10,12
9,40,"[0, 0, 1, 3, 2]",0.0,5,4,13,4,13,,not_applicable,False,0,0,4,3,5,3,7,4,8,2,9,4,4,13,5,13,7,13,8,13,9,12
9,41,"[5, 1, 0, 0, 0]",0.0,8,8,13,8,13,,not_applicable,False,0,0,3,3,5,4,8,4,9,2,9,5,4,13,6,13,7,13,8,13,8,12
9,42,"[1, 3, 3, 3, 1]",0.0,8,8,13,8,13,,not_applicable,False,0,0,3,4,5,3,8,5,8,2,9,6,5,13,6,13,7,13,8,13,9,12
9,43,"[2, 1, 2, 1, 0]",0.0,8,9,13,9,13,,not_applicable,False,0,0,3,3,5,4,8,4,8,1,10,6,5,12,6,13,7,12,9,13,8,12
9,44,"[0, 2, 3, 2, 3]",0.0,8,9,12,9,12,,not_applicable,False,0,0,4,3,6,4,8,3,7,1,10,5,4,12,6,12,7,13,9,12,8,13
9,45,"[1, 1, 1, 3, 1]",0.0,8,9,13,9,13,,not_applicable,False,0,0,4,4,6,5,8,4,8,1,10,6,5,12,7,12,7,13,9,13,8,13
9,46,"[2, 1, 3, 3, 2]",0.0,8,9,13,9,13,,not_applicable,False,0,0,4,5,6,6,7,4,7,1,9,6,5,11,8,12,7,13,9,13,8,13
9,47,"[3, 3, 2, 3, 0]",0.0,8,9,13,9,13,,not_applicable,False,0,0,5,5,5,6,7,3,6,1,10,6,5,12,8,12,7,12,9,13,7,13
9,48,"[1, 2, 2, 2, 3]",0.0,8,9,12,9,12,,not_applicable,False,0,0,4,5,5,7,6,3,7,1,10,5,6,12,8,11,7,11,9,12,7,13
9,49,"[3, 0, 2, 2, 1]",0.0,8,9,11,9,11,,not_applicable,False,0,0,3,5,6,7,6,4,8,1,9,5,6,13,8,11,7,10,9,11,8,13
9,50,"[3, 3, 2, 2, 3]",0.0,8,9,10,9,10,,not_applicable,False,0,0,4,5,6,8,5,4,8,2,8,5,6,13,8,12,7,9,9,10,8,13
9,51,"[3, 1, 2, 3, 1]",0.0,8,9,11,9,11,,not_applicable,False,0,0,5,5,6,7,5,3,8,3,9,5,6,13,9,12,7,8,9,11,9,13
9,52,"[2, 0, 0, 4, 2]",0.8100000023841858,8,9,11,9,11,,shot_successful,True,3,0,6,5,7,7,5,2,8,4,8,5,6,12,8,12,6,8,9,11,9,12
10,53,"[2, 0, 1, 0, 2]",0.0,5,5,12,5,12,,not_applicable,False,0,0,5,2,5,3,7,4,8,4,10,3,5,12,5,13,7,13,8,13,9,12
10,54,"[3, 3, 3, 1, 1]",0.0,5,5,12,5,12,,not_applicable,False,0,0,5,1,4,3,7,5,9,4,10,2,5,12,5,13,7,13,9,13,10,12
10,55,"[1, 2, 1, 3, 1]",0.0,5,6,12,6,12,,not_applicable,False,0,0,6,1,4,2,7,4,9,3,11,2,6,12,5,12,8,13,9,13,11,12
10,56,"[3, 2, 3, 1, 3]",0.0,5,6,13,6,13,,not_applicable,False,0,0,6,2,4,1,6,4,10,3,11,1,6,13,5,11,8,13,10,13,11,13
10,57,"[1, 0, 2, 0, 0]",0.0,5,7,13,7,13,,not_applicable,False,0,0,6,1,4,2,6,5,10,4,11,2,7,13,4,11,8,12,9,13,10,13
10,58,"[3, 3, 3, 3, 1]",0.0,5,7,13,7,13,,not_applicable,False,0,0,5,1,4,1,7,5,11,4,11,1,7,13,4,12,8,13,9,13,11,13
10,59,"[2, 2, 1, 3, 0]",0.0,5,7,12,7,12,,not_applicable,False,0,0,6,1,4,0,7,4,10,4,10,1,7,12,4,11,8,13,9,13,10,13
10,60,"[5, 2, 2, 3, 0]",0.0,7,8,12,8,12,,not_applicable,False,0,0,7,1,5,0,7,3,11,4,9,1,7,12,4,10,8,12,9,13,10,13
10,61,"[0, 2, 0, 2, 0]",0.0,7,7,12,7,12,,not_applicable,False,0,0,8,1,4,0,6,3,11,5,9,0,6,12,4,9,7,12,9,12,9,13
10,62,"[2, 2, 4, 0, 2]",0.7200000286102295,7,7,12,7,12,,shot_successful,True,3,0,8,0,5,0,7,3,11,4,9,1,6,11,4,8,7,12,8,12,9,12
11,63,"[5, 1, 0, 3, 3]",0.0,9,9,13,9,13,,not_applicable,False,0,0,4,3,5,3,7,2,8,4,10,3,5,13,6,13,7,13,8,13,9,13
11,64,"[1, 1, 1, 1, 4]",0.0,9,9,13,9,13,,shot_failed,True,0,0,4,2,6,3,6,2,7,4,10,4,5,13,6,13,7,13,8,13,9,13
12,65,"[3, 0, 3, 1, 2]",0.0,5,5,13,5,13,,not_applicable,False,0,0,5,2,5,3,7,2,7,3,10,3,5,13,6,13,7,13,8,13,9,12
12,66,"[0, 2, 3, 0, 2]",0.0,5,4,13,4,13,,not_applicable,False,0,0,4,2,5,2,6,2,6,3,10,4,4,13,6,12,7,13,8,13,9,11
12,67,"[4, 1, 0, 1, 0]",0.0,5,4,13,4,13,,shot_failed,True,0,0,3,2,5,3,5,2,6,2,11,4,4,13,7,12,6,13,9,13,8,11
13,68,"[0, 0, 1, 2, 0]",0.0,5,4,13,4,13,,not_applicable,False,0,0,5,4,6,2,7,2,7,3,9,4,4,13,5,13,7,13,8,12,8,13
13,69,"[1, 1, 0, 0, 2]",0.0,5,4,13,4,13,,not_applicable,False,0,0,5,5,5,2,7,1,8,3,9,3,4,13,6,13,7,13,7,12,8,12
13,70,"[5, 3, 2, 2, 0]",0.0,6,6,13,6,13,,not_applicable,False,0,0,5,6,5,3,8,1,7,3,9,4,4,13,6,13,7,13,7,11,7,12
13,71,"[1, 3, 3, 3, 0]",0.0,6,6,13,6,13,,not_applicable,False,0,0,6,6,5,4,8,2,8,3,9,5,5,13,6,13,7,13,7,11,6,12
13,72,"[1, 5, 2, 3, 1]",0.0,9,6,12,6,12,,not_applicable,False,0,0,5,6,4,4,7,2,8,2,9,4,5,13,6,13,7,12,7,11,6,12
13,73,"[3, 1, 2, 1, 1]",0.0,9,6,12,6,12,,not_applicable,False,0,0,5,7,4,5,6,2,8,3,8,4,5,13,7,13,7,12,8,11,6,12
13,74,"[3, 2, 2, 3, 1]",0.0,9,7,12,7,12,,not_applicable,False,0,0,4,7,4,4,6,1,8,2,7,4,5,13,7,13,7,11,8,12,7,12
13,75,"[2, 3, 3, 1, 3]",0.0,9,7,12,7,12,,not_applicable,False,0,0,3,7,4,3,6,2,9,2,7,5,5,12,7,13,7,11,9,12,7,12
13,76,"[2, 0, 3, 2, 2]",0.0,9,7,12,7,12,,not_applicable,False,0,0,3,6,4,2,5,2,9,1,7,6,5,11,6,13,7,11,9,11,7,12
13,77,"[0, 3, 3, 2, 1]",0.0,9,8,12,8,12,,not_applicable,False,0,0,3,5,4,3,5,1,9,2,7,7,4,11,6,13,7,11,9,10,8,12
13,78,"[1, 0, 1, 3, 0]",0.0,9,7,12,7,12,,not_applicable,False,0,0,4,5,5,3,5,2,9,3,8,7,5,11,5,13,8,11,9,11,7,12
13,79,"[2, 2, 0, 3, 3]",0.0,9,7,13,7,13,,not_applicable,False,0,0,4,4,5,4,4,2,9,2,8,8,5,10,5,12,7,11,9,12,7,13
13,80,"[1, 1, 0, 3, 2]",0.0,9,7,12,7,12,,not_applicable,False,0,0,4,3,5,3,5,2,9,1,9,8,6,10,6,12,6,11,9,13,7,12
13,81,"[3, 1, 2, 0, 2]",0.0,9,7,11,7,11,,not_applicable,False,0,0,4,2,6,3,5,3,9,0,9,9,6,10,6,12,6,11,8,13,7,11
13,82,"[2, 1, 1, 0, 3]",0.0,9,7,11,7,11,,not_applicable,False,0,0,5,2,6,4,5,4,9,1,10,9,6,9,7,12,6,11,7,13,7,11
13,83,"[1, 1, 0, 1, 1]",0.0,9,8,11,8,11,,not_applicable,False,0,0,5,1,6,5,5,3,9,0,9,9,7,9,8,12,5,11,8,13,8,11
13,84,"[1, 2, 3, 2, 2]",0.0,9,8,10,8,10,,not_applicable,False,0,0,4,1,5,5,5,4,8,0,10,9,8,9,8,12,5,12,8,13,8,10
