episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
0,1,"[2, 3, 0, 3, 2]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': np.float64(0.23257689450206726), 'final': np.float64(0.23257689450206726), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,3,6,2,7,2,8,2,9,2,5,12,6,13,7,13,8,13,9,12
0,2,"[2, 2, 1, 0, 0]",0.0,5,5,11,5,11,not_applicable,False,0,0,"{'base': np.float64(0.2656954111578556), 'final': np.float64(0.2656954111578556), 'penalty': 0, 'defense_count': 0, 'defenders': []}",3,3,6,3,6,2,8,3,8,2,5,11,6,12,7,13,8,13,8,12
0,3,"[2, 2, 1, 2, 0]",0.0,5,5,10,5,10,not_applicable,False,0,0,"{'base': np.float64(0.30238948638704405), 'final': np.float64(0.30238948638704405), 'penalty': 0, 'defense_count': 0, 'defenders': []}",3,2,7,3,7,2,8,4,8,3,5,10,6,11,7,13,8,13,7,12
0,4,"[1, 1, 1, 0, 3]",0.0,5,6,10,6,10,not_applicable,False,0,0,"{'base': np.float64(0.3082424419115055), 'final': np.float64(0.3082424419115055), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,2,7,4,7,1,8,5,8,4,6,10,7,11,7,13,8,13,7,12
0,5,"[2, 0, 3, 3, 2]",0.0,5,6,9,6,9,not_applicable,False,0,0,"{'base': np.float64(0.34968752957296856), 'final': np.float64(0.34968752957296856), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,3,7,3,6,1,8,6,7,4,6,9,6,11,7,13,8,13,7,11
0,6,"[5, 1, 3, 2, 1]",-1.0,5,6,9,6,9,intercepted_pass,True,0,0,"{'base': np.float64(0.34968752957296856), 'final': np.float64(0.34968752957296856), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,3,7,3,6,1,8,6,7,4,6,9,6,11,7,13,8,13,7,11
1,7,"[5, 0, 3, 1, 3]",0.0,9,9,13,9,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,6,2,7,4,8,2,8,3,5,13,6,13,7,13,8,13,9,13
1,8,"[2, 0, 2, 1, 4]",-1.0,9,9,13,9,13,intercepted_shot,True,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,6,2,7,4,8,2,8,3,5,12,5,13,7,12,8,13,9,13
2,9,"[3, 2, 3, 3, 2]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,6,2,7,4,8,4,8,3,5,13,6,12,7,13,8,13,9,12
2,10,"[1, 1, 2, 3, 2]",0.0,5,6,13,6,13,not_applicable,False,0,0,"{'base': np.float64(0.20631563059364366), 'final': np.float64(0.20631563059364366), 'penalty': 0, 'defense_count': 0, 'defenders': []}",6,4,5,2,7,5,9,4,7,3,6,13,7,12,7,13,8,13,9,11
2,11,"[0, 0, 1, 1, 0]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",7,4,4,2,8,5,9,5,7,2,5,13,6,12,7,13,9,13,8,11
2,12,"[5, 1, 0, 1, 2]",0.0,6,7,12,7,12,not_applicable,False,0,0,"{'base': np.float64(0.23788346092466214), 'final': np.float64(0.23788346092466214), 'penalty': 0, 'defense_count': 0, 'defenders': []}",8,4,4,3,8,6,9,6,7,3,5,13,7,12,6,13,10,13,8,10
