episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,player_name,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
1424,9804,"[2, 0, 1, 3, 2]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,3,5,3,7,2,7,3,8,3,5,12,5,13,7,13,8,13,9,12
1424,9805,"[5, 3, 3, 0, 3]",0.0,8,8,13,8,13,not_applicable,False,0,0,"{'base': 0.22, 'final': 0.22, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,3,3,5,2,8,2,7,2,8,4,5,12,5,13,7,13,8,13,9,13
1424,9806,"[0, 2, 1, 0, 1]",0.0,8,8,13,8,13,not_applicable,False,0,0,"{'base': 0.22, 'final': 0.22, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,3,4,4,2,9,2,7,1,9,4,4,12,5,12,7,13,8,13,10,13
1424,9807,"[0, 2, 1, 3, 2]",0.0,8,8,13,8,13,not_applicable,False,0,0,"{'base': 0.22, 'final': 0.22, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,3,3,4,1,10,2,6,1,9,5,3,12,5,11,7,13,8,13,10,12
1424,9808,"[3, 0, 3, 4, 0]",0.0,8,8,13,8,13,shot_failed,True,0,0,"{'base': 0.22, 'final': 0.22, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,3,4,4,2,9,2,6,0,10,5,3,13,4,11,7,13,8,13,9,12
1425,9809,"[1, 0, 1, 0, 2]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,2,6,2,7,2,8,4,9,2,5,13,6,13,7,13,8,13,9,12
1425,9810,"[2, 3, 0, 1, 1]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,1,5,2,6,2,8,5,10,2,5,12,6,13,7,13,9,13,10,12
1425,9811,"[1, 2, 0, 3, 2]",0.0,5,6,12,6,12,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,1,5,1,6,3,8,4,10,3,6,12,6,13,7,13,9,13,10,11
1425,9812,"[1, 0, 0, 3, 2]",0.0,5,7,12,7,12,not_applicable,False,0,0,"{'base': 0.24, 'final': 0.24, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,3,1,5,0,7,3,9,4,9,3,7,12,5,13,6,13,9,13,10,10
1425,9813,"[2, 1, 2, 1, 0]",0.0,5,7,11,7,11,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,1,5,1,6,3,10,4,8,3,7,11,5,13,6,12,10,13,9,10
1425,9814,"[4, 3, 1, 0, 0]",0.0,5,7,11,7,11,shot_failed,True,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,2,4,1,6,4,11,4,8,4,7,11,5,13,7,12,9,13,8,10
1426,9815,"[1, 1, 2, 0, 0]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,2,5,3,7,4,8,2,10,3,5,13,6,13,7,12,7,13,8,13
