episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,player_name,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
0,1,"[2, 3, 2, 3, 2]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,2,5,3,6,3,8,2,8,3,5,12,6,13,7,12,8,13,9,12
0,2,"[4, 0, 0, 2, 0]",0.0,5,5,12,5,12,shot_failed,True,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,6,2,5,4,6,4,7,2,7,3,5,12,5,13,6,12,8,12,9,12
1,3,"[5, 1, 1, 1, 2]",0.0,7,7,13,7,13,not_applicable,False,0,0,"{'base': 0.38, 'final': 0.38, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,5,2,5,3,6,3,8,2,10,3,5,13,6,13,7,13,8,13,9,12
1,4,"[0, 0, 2, 3, 3]",0.0,7,7,12,7,12,not_applicable,False,0,0,"{'base': 0.39, 'final': 0.39, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,6,2,4,3,7,3,8,1,10,4,4,13,5,13,7,12,8,13,9,13
1,5,"[1, 0, 4, 3, 1]",0.0,7,7,12,7,12,shot_failed,True,0,0,"{'base': 0.39, 'final': 0.39, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,6,3,4,2,7,2,9,1,10,3,4,13,5,13,7,12,8,13,10,13
2,6,"[5, 2, 3, 3, 0]",0.0,6,6,12,6,12,not_applicable,False,0,0,"{'base': 0.42, 'final': 0.42, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,4,3,6,2,6,3,7,3,9,2,5,13,6,12,7,13,8,13,9,13
2,7,"[1, 2, 1, 3, 3]",0.0,6,6,11,6,11,not_applicable,False,0,0,"{'base': 0.42, 'final': 0.42, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,4,4,6,1,6,2,7,2,8,2,6,13,6,11,7,13,8,13,9,13
2,8,"[0, 1, 0, 0, 2]",0.0,6,7,11,7,11,not_applicable,False,0,0,"{'base': 0.46, 'final': 0.46, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,4,5,7,1,6,3,6,2,7,2,5,13,7,11,6,13,7,13,9,12
2,9,"[2, 0, 0, 3, 1]",0.0,6,6,11,6,11,not_applicable,False,0,0,"{'base': 0.42, 'final': 0.42, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,5,5,6,1,7,3,6,3,7,1,5,12,6,11,5,13,7,13,10,12
2,10,"[1, 2, 2, 0, 0]",0.0,6,6,10,6,10,not_applicable,False,0,0,"{'base': 0.41, 'final': 0.41, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,6,5,6,0,8,3,5,3,8,1,6,12,6,10,5,12,6,13,9,12
