episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
94,498,"[4, 3, 3, 1, 1]",0.0,5,5,13,5,13,shot_failed,True,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,3,6,3,7,3,8,1,10,4,5,13,6,13,7,13,9,13,10,12
95,499,"[2, 1, 3, 2, 0]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': np.float64(0.23257689450206726), 'final': np.float64(0.23257689450206726), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,2,6,4,7,4,8,4,8,3,5,12,6,13,7,13,8,12,8,13
95,500,"[3, 2, 1, 1, 1]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,3,5,4,7,3,8,5,8,4,5,13,6,12,7,13,9,12,9,13
95,501,"[5, 2, 3, 3, 0]",0.0,8,9,12,9,12,not_applicable,False,0,0,"{'base': np.float64(0.23257689450206726), 'final': np.float64(0.23257689450206726), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,2,4,4,7,4,8,6,8,3,5,13,6,11,7,13,9,12,8,13
95,502,"[2, 0, 3, 2, 3]",0.0,8,9,11,9,11,not_applicable,False,0,0,"{'base': np.float64(0.2656954111578556), 'final': np.float64(0.2656954111578556), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,1,5,4,7,3,7,6,8,4,5,12,5,11,7,13,9,11,8,13
95,503,"[2, 0, 2, 5, 1]",0.0,9,9,13,9,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",6,1,5,3,7,4,8,6,8,3,5,12,4,11,7,12,9,11,9,13
95,504,"[2, 0, 1, 1, 3]",0.0,9,9,13,9,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",7,1,5,4,7,5,8,5,7,3,5,11,3,11,8,12,10,11,9,13
95,505,"[3, 2, 0, 2, 2]",0.0,9,9,12,9,12,not_applicable,False,0,0,"{'base': np.float64(0.23257689450206726), 'final': np.float64(0.23257689450206726), 'penalty': 0, 'defense_count': 0, 'defenders': []}",7,2,5,5,6,5,8,6,8,3,5,12,3,10,7,12,10,10,9,12
95,506,"[0, 3, 2, 1, 5]",0.0,6,3,11,3,11,not_applicable,False,0,0,"{'base': np.float64(0.2476090713881311), 'final': np.float64(0.2476090713881311), 'penalty': 0, 'defense_count': 0, 'defenders': []}",8,2,5,4,7,5,7,6,8,4,4,12,3,11,7,11,11,10,9,12
95,507,"[1, 3, 1, 3, 2]",0.0,6,3,12,3,12,not_applicable,False,0,0,"{'base': np.float64(0.2176701143557877), 'final': np.float64(0.2176701143557877), 'penalty': 0, 'defense_count': 0, 'defenders': []}",7,2,6,4,8,5,8,6,9,4,5,12,3,12,8,11,11,11,9,11
95,508,"[0, 2, 0, 2, 1]",0.0,6,3,11,3,11,not_applicable,False,0,0,"{'base': np.float64(0.2476090713881311), 'final': np.float64(0.2476090713881311), 'penalty': 0, 'defense_count': 0, 'defenders': []}",7,1,6,5,7,5,9,6,8,4,4,12,3,11,7,11,11,10,10,11
95,509,"[2, 3, 0, 0, 2]",0.0,6,3,12,3,12,not_applicable,False,0,0,"{'base': np.float64(0.2176701143557877), 'final': np.float64(0.2176701143557877), 'penalty': 0, 'defense_count': 0, 'defenders': []}",7,2,6,4,7,6,8,6,9,4,4,11,3,12,6,11,10,10,10,11
95,510,"[3, 0, 3, 3, 0]",0.0,6,2,12,2,12,not_applicable,False,0,0,"{'base': np.float64(0.2074101705543697), 'final': np.float64(0.2074101705543697), 'penalty': 0, 'defense_count': 0, 'defenders': []}",6,2,7,4,7,7,7,6,8,4,4,12,2,12,6,12,10,10,9,11
95,511,"[0, 5, 1, 0, 1]",-1.0,6,2,12,2,12,intercepted_pass,True,0,0,"{'base': np.float64(0.2074101705543697), 'final': np.float64(0.2074101705543697), 'penalty': 0, 'defense_count': 0, 'defenders': []}",6,2,7,4,7,7,7,6,8,4,3,12,2,12,6,12,10,10,9,11
96,512,"[4, 2, 1, 1, 3]",0.0,5,5,13,5,13,shot_failed,True,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,2,6,2,7,2,8,2,10,3,5,13,6,12,7,13,8,13,9,13
97,513,"[2, 1, 3, 0, 2]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': np.float64(0.23257689450206726), 'final': np.float64(0.23257689450206726), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,6,4,7,2,8,2,10,3,5,12,6,13,7,13,8,13,9,12
