episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,player_name,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
0,1,"[3, 0, 0, 0, 0]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,4,6,4,7,2,7,3,10,3,5,13,6,13,7,13,8,13,9,13
0,2,"[3, 0, 3, 0, 1]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,5,6,5,7,1,6,3,10,2,5,13,6,13,7,13,8,13,10,13
0,3,"[0, 3, 0, 3, 1]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,6,6,6,6,1,6,4,10,1,4,13,6,13,7,13,8,13,11,13
0,4,"[0, 1, 1, 1, 0]",0.0,5,3,13,3,13,not_applicable,False,0,0,"{'base': 0.28, 'final': 0.28, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,5,6,7,7,1,6,3,10,0,3,13,6,13,7,13,9,13,10,13
0,5,"[2, 0, 0, 1, 1]",0.0,5,3,12,3,12,not_applicable,False,0,0,"{'base': 0.28, 'final': 0.28, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,4,6,6,6,1,5,3,11,0,3,12,5,13,6,13,9,13,11,13
0,6,"[1, 0, 3, 1, 3]",0.0,5,4,12,4,12,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,5,5,6,7,1,5,2,11,1,4,12,4,13,6,13,10,13,11,13
0,7,"[5, 2, 1, 1, 0]",0.0,9,11,13,11,13,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,4,5,4,6,8,1,5,1,11,0,4,12,4,13,7,13,10,13,11,13
0,8,"[0, 0, 2, 3, 0]",0.0,9,11,13,11,13,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,5,5,4,5,8,0,6,1,11,1,3,12,3,13,7,12,10,13,11,13
0,9,"[0, 2, 2, 1, 2]",0.0,9,11,12,11,12,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,5,6,3,5,8,1,6,2,10,1,2,12,3,12,7,11,10,13,11,12
0,10,"[2, 2, 1, 1, 0]",0.0,9,10,12,10,12,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,5,5,3,4,8,2,6,1,9,1,2,11,3,11,8,11,11,13,10,12
0,11,"[0, 3, 1, 2, 0]",0.0,9,9,12,9,12,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,4,5,4,4,7,2,5,1,10,1,1,11,3,12,9,11,11,12,9,12
0,12,"[3, 3, 0, 2, 2]",0.0,9,9,11,9,11,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,5,5,4,5,8,2,5,0,10,2,1,12,3,13,8,11,11,11,9,11
0,13,"[2, 3, 0, 1, 1]",0.0,9,10,11,10,11,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,5,4,4,4,8,1,6,0,10,3,1,11,3,13,7,11,12,11,10,11
0,14,"[0, 0, 2, 2, 5]",0.0,7,7,10,7,10,not_applicable,False,0,0,"{'base': 0.47, 'final': 0.47, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,6,4,4,3,9,1,5,0,10,4,0,11,2,13,7,10,12,10,10,11
0,15,"[1, 2, 1, 2, 1]",0.0,7,8,10,8,10,not_applicable,False,0,0,"{'base': 0.47, 'final': 0.47, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,6,3,3,3,10,1,5,1,10,5,1,11,2,12,8,10,12,9,11,11
0,16,"[1, 0, 3, 2, 3]",0.0,7,8,11,8,11,not_applicable,False,0,0,"{'base': 0.45, 'final': 0.45, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,7,3,3,4,11,1,6,1,10,4,2,11,1,12,8,11,12,8,11,12
0,17,"[0, 3, 1, 0, 2]",0.0,7,9,11,9,11,not_applicable,False,0,0,"{'base': 0.45, 'final': 0.45, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,7,4,3,5,11,0,7,1,11,4,1,11,1,13,9,11,11,8,11,11
0,18,"[0, 3, 3, 2, 3]",0.0,7,9,12,9,12,not_applicable,False,0,0,"{'base': 0.43, 'final': 0.43, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,7,5,3,6,12,0,7,2,10,4,0,11,1,13,9,12,11,7,11,12
0,19,"[2, 2, 0, 3, 3]",0.0,7,8,12,8,12,not_applicable,False,0,0,"{'base': 0.43, 'final': 0.43, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,7,4,4,6,13,0,7,3,11,4,0,10,1,12,8,12,11,8,11,13
0,20,"[3, 3, 0, 3, 3]",0.0,7,7,12,7,12,not_applicable,False,0,0,"{'base': 0.39, 'final': 0.39, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,8,4,5,6,14,0,7,4,10,4,0,11,1,13,7,12,11,9,11,13
0,21,"[1, 3, 1, 1, 1]",0.0,7,8,12,8,12,not_applicable,False,0,0,"{'base': 0.43, 'final': 0.43, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,9,4,5,5,13,0,7,3,10,5,1,11,1,13,8,12,12,9,12,13
0,22,"[0, 1, 0, 1, 2]",0.0,7,7,12,7,12,not_applicable,False,0,0,"{'base': 0.39, 'final': 0.39, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,8,4,5,6,14,0,8,3,10,6,0,11,2,13,7,12,13,9,12,12
0,23,"[3, 3, 3, 0, 3]",0.0,7,7,13,7,13,not_applicable,False,0,0,"{'base': 0.38, 'final': 0.38, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,7,4,5,7,14,1,9,3,9,6,0,12,2,13,7,13,12,9,12,13
0,24,"[1, 0, 0, 2, 0]",0.0,7,6,13,6,13,not_applicable,False,0,0,"{'base': 0.39, 'final': 0.39, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,7,3,4,7,14,2,9,2,9,7,1,12,1,13,6,13,12,8,11,13
0,25,"[2, 1, 4, 3, 3]",1.1699999570846558,7,6,13,6,13,shot_successful,True,3,0,"{'base': 0.39, 'final': 0.39, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,7,2,4,8,13,2,9,1,8,7,1,11,2,13,6,13,12,9,11,13
1,26,"[4, 2, 3, 3, 3]",0.0,5,5,13,5,13,shot_failed,True,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,3,6,4,6,3,7,3,10,3,5,13,6,12,7,13,8,13,9,13
2,27,"[0, 0, 1, 1, 1]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,2,6,2,7,4,8,4,9,4,4,13,5,13,7,13,8,13,10,13
2,28,"[3, 0, 3, 0, 0]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,1,7,2,6,4,8,5,9,3,4,13,5,13,7,13,8,13,9,13
