episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,probability,shot,done,score_red,score_blue,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
0,1,"[5, 2, 0, 2, 2]",0.0,7,6,13,6,13,,not_applicable,False,0,0,5,2,6,2,6,3,8,2,9,4,5,13,6,12,6,13,8,12,9,12
0,2,"[0, 1, 3, 0, 0]",0.0,7,6,13,6,13,,not_applicable,False,0,0,5,3,5,2,6,4,9,2,9,5,4,13,7,12,6,13,8,12,9,12
0,3,"[2, 0, 3, 3, 2]",0.0,7,6,13,6,13,,not_applicable,False,0,0,6,3,4,2,6,5,9,1,10,5,4,12,6,12,6,13,8,13,9,11
0,4,"[2, 2, 0, 3, 1]",0.0,7,5,13,5,13,,not_applicable,False,0,0,6,2,4,1,5,5,8,1,11,5,4,11,6,11,5,13,8,13,10,11
0,5,"[2, 0, 2, 3, 2]",0.0,7,5,12,5,12,,not_applicable,False,0,0,6,3,5,1,5,4,9,1,12,5,4,10,5,11,5,12,8,13,10,10
0,6,"[3, 3, 0, 1, 3]",0.0,7,4,12,4,12,,not_applicable,False,0,0,7,3,4,1,6,4,8,1,12,6,4,11,5,11,4,12,9,13,10,11
0,7,"[1, 2, 0, 1, 1]",0.0,7,3,12,3,12,,not_applicable,False,0,0,7,4,3,1,6,3,7,1,12,7,4,11,5,10,3,12,10,13,11,11
0,8,"[3, 1, 4, 0, 0]",0.0,7,3,12,3,12,,shot_failed,True,0,0,6,4,2,1,6,2,8,1,12,6,4,12,6,10,3,12,9,13,10,11
1,9,"[4, 3, 1, 0, 3]",0.0,5,5,13,5,13,,shot_failed,True,0,0,5,2,6,2,7,4,7,3,8,3,5,13,6,13,7,13,8,13,9,13
2,10,"[0, 3, 2, 1, 3]",0.0,5,4,13,4,13,,not_applicable,False,0,0,5,2,6,2,7,4,8,2,10,3,4,13,6,13,7,12,8,13,9,13
2,11,"[3, 3, 3, 3, 3]",0.0,5,4,13,4,13,,not_applicable,False,0,0,5,1,6,1,8,4,9,2,11,3,4,13,6,13,7,13,8,13,9,13
2,12,"[5, 2, 2, 1, 1]",0.0,6,6,12,6,12,,not_applicable,False,0,0,5,0,5,1,8,3,10,2,10,3,4,13,6,12,7,12,8,13,10,13
2,13,"[1, 4, 2, 0, 3]",0.7200000286102295,6,6,12,6,12,,shot_successful,True,3,0,4,0,6,1,7,3,11,2,9,3,5,13,6,12,7,11,7,13,10,13
3,14,"[4, 3, 2, 1, 2]",0.6000000238418579,5,5,13,5,13,,shot_successful,True,3,0,5,2,6,4,7,4,8,2,9,2,5,13,6,13,7,12,8,13,9,12
4,15,"[1, 1, 3, 2, 0]",0.0,5,5,13,5,13,,not_applicable,False,0,0,4,3,5,3,6,3,8,2,9,4,5,13,6,13,7,13,8,12,8,13
4,16,"[5, 1, 2, 2, 3]",0.0,7,7,12,7,12,,not_applicable,False,0,0,4,2,5,2,6,2,7,2,9,5,5,13,6,13,7,12,8,11,8,13
4,17,"[3, 0, 3, 2, 2]",0.0,7,7,13,7,13,,not_applicable,False,0,0,4,3,4,2,6,1,6,2,9,6,5,13,6,13,7,13,8,10,8,12
4,18,"[2, 1, 0, 3, 3]",0.0,7,7,13,7,13,,not_applicable,False,0,0,5,3,3,2,6,0,5,2,9,7,5,12,6,13,7,13,8,11,8,13
4,19,"[1, 3, 1, 1, 3]",0.0,7,7,13,7,13,,not_applicable,False,0,0,5,4,3,3,5,0,4,2,10,7,6,12,6,13,7,13,9,11,8,13
4,20,"[3, 0, 0, 0, 0]",0.0,7,6,13,6,13,,not_applicable,False,0,0,5,3,2,3,5,1,3,2,10,8,6,12,5,13,6,13,8,11,7,13
4,21,"[3, 3, 4, 1, 2]",0.6299999952316284,7,6,13,6,13,,shot_successful,True,3,0,4,3,3,3,6,1,3,1,11,8,6,12,5,13,6,13,9,11,7,12
5,22,"[4, 3, 1, 2, 1]",0.0,5,5,13,5,13,,shot_failed,True,0,0,4,3,6,2,7,4,8,4,9,2,5,13,6,13,7,13,8,12,10,13
6,23,"[2, 3, 3, 3, 1]",0.0,5,5,12,5,12,,not_applicable,False,0,0,4,3,6,4,7,4,8,4,8,3,5,12,6,13,7,13,8,13,10,13
6,24,"[4, 2, 2, 2, 3]",0.0,5,5,12,5,12,,shot_failed,True,0,0,3,3,5,4,6,4,8,5,8,2,5,12,6,12,7,12,8,12,10,13
7,25,"[4, 3, 3, 2, 1]",0.0,5,5,13,5,13,,shot_failed,True,0,0,5,2,6,2,7,2,8,4,10,3,5,13,6,13,7,13,8,12,10,13
8,26,"[0, 0, 3, 3, 2]",0.0,5,4,13,4,13,,not_applicable,False,0,0,4,3,6,4,7,4,8,2,9,2,4,13,5,13,7,13,8,13,9,12
8,27,"[3, 3, 3, 3, 0]",0.0,5,4,13,4,13,,not_applicable,False,0,0,3,3,6,3,8,4,8,3,9,1,4,13,5,13,7,13,8,13,8,12
8,28,"[3, 3, 0, 3, 0]",0.0,5,4,13,4,13,,not_applicable,False,0,0,3,4,6,2,8,5,7,3,9,0,4,13,5,13,6,13,8,13,7,12
8,29,"[5, 3, 1, 2, 1]",0.0,9,7,12,7,12,,not_applicable,False,0,0,4,4,6,1,8,4,7,2,8,0,4,13,5,13,7,13,8,12,7,12
8,30,"[1, 1, 1, 3, 0]",0.0,9,6,12,6,12,,not_applicable,False,0,0,4,5,6,0,8,5,8,2,9,0,4,13,6,13,8,13,8,12,6,12
8,31,"[0, 1, 3, 0, 1]",0.0,9,6,12,6,12,,not_applicable,False,0,0,4,4,6,1,8,6,8,1,10,0,3,13,7,13,8,13,7,12,6,12
