episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
0,1,"[0, 1, 3, 2, 3]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': np.float64(0.1978696081563825), 'final': np.float64(0.1978696081563825), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,6,4,7,2,8,2,9,2,4,13,6,13,7,13,8,12,9,13
0,2,"[2, 1, 0, 1, 0]",0.0,5,4,12,4,12,not_applicable,False,0,0,"{'base': np.float64(0.22618655352128306), 'final': np.float64(0.22618655352128306), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,3,7,4,6,2,8,1,8,2,4,12,6,13,7,13,9,12,8,13
0,3,"[2, 3, 3, 2, 0]",0.0,5,4,11,4,11,not_applicable,False,0,0,"{'base': np.float64(0.25793087753742816), 'final': np.float64(0.25793087753742816), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,3,7,3,5,2,8,0,7,2,4,11,6,13,7,13,9,11,8,13
0,4,"[4, 1, 1, 2, 3]",0.0,5,4,11,4,11,shot_failed,True,0,0,"{'base': np.float64(0.25793087753742816), 'final': np.float64(0.25793087753742816), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,3,7,4,6,2,9,0,7,3,4,11,6,13,7,13,9,10,8,13
1,5,"[5, 3, 2, 2, 2]",0.0,8,8,12,8,12,not_applicable,False,0,0,"{'base': np.float64(0.23654018528566523), 'final': np.float64(0.23654018528566523), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,5,3,6,3,7,3,9,2,5,13,6,13,7,12,8,12,9,12
1,6,"[1, 1, 0, 2, 2]",0.0,8,8,11,8,11,not_applicable,False,0,0,"{'base': np.float64(0.2705202467546839), 'final': np.float64(0.2705202467546839), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,5,4,3,6,4,7,4,9,1,5,13,7,13,6,12,8,11,9,11
1,7,"[1, 2, 2, 2, 1]",0.0,8,8,10,8,10,not_applicable,False,0,0,"{'base': np.float64(0.3082424419115055), 'final': np.float64(0.3082424419115055), 'penalty': 0, 'defense_count': 0, 'defenders': []}",6,5,4,4,5,4,6,4,9,2,6,13,7,12,6,11,8,10,10,11
1,8,"[0, 2, 1, 3, 1]",0.0,8,8,11,8,11,not_applicable,False,0,0,"{'base': np.float64(0.2705202467546839), 'final': np.float64(0.2705202467546839), 'penalty': 0, 'defense_count': 0, 'defenders': []}",7,5,3,4,4,4,6,5,8,2,5,13,7,11,6,11,8,11,11,11
1,9,"[0, 1, 2, 3, 1]",0.0,8,8,12,8,12,not_applicable,False,0,0,"{'base': np.float64(0.23654018528566523), 'final': np.float64(0.23654018528566523), 'penalty': 0, 'defense_count': 0, 'defenders': []}",7,4,3,3,3,4,6,4,9,2,4,13,7,11,6,10,8,12,12,11
1,10,"[1, 0, 0, 5, 3]",0.0,7,5,10,5,10,not_applicable,False,0,0,"{'base': np.float64(0.30238948638704405), 'final': np.float64(0.30238948638704405), 'penalty': 0, 'defense_count': 0, 'defenders': []}",7,5,2,3,3,5,7,4,10,2,5,13,6,11,5,10,8,12,12,12
