episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,probability,shot,done,score_red,score_blue,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
0,1,"[0, 1, 1, 3, 2]",0.0,5,4,13,4,13,,not_applicable,False,0,0,5,4,6,4,7,4,8,4,10,3,4,13,6,13,7,13,8,13,9,12
0,2,"[4, 3, 3, 0, 3]",0.6000000238418579,5,4,13,4,13,,shot_successful,True,3,0,5,5,5,4,7,5,9,4,10,2,4,13,6,13,7,13,8,13,9,13
1,3,"[0, 2, 3, 0, 0]",0.0,5,4,13,4,13,,not_applicable,False,0,0,5,2,6,4,7,2,7,3,9,2,4,13,6,12,7,13,8,13,9,13
1,4,"[1, 1, 1, 2, 1]",0.0,5,5,13,5,13,,not_applicable,False,0,0,6,2,6,5,8,2,8,3,9,1,5,13,7,12,7,13,8,12,10,13
1,5,"[1, 1, 0, 1, 1]",0.0,5,6,13,6,13,,not_applicable,False,0,0,6,3,6,4,9,2,8,2,8,1,6,13,7,12,7,13,9,12,11,13
1,6,"[2, 0, 0, 3, 1]",0.0,5,6,12,6,12,,not_applicable,False,0,0,7,3,6,5,9,3,8,3,7,1,6,12,7,12,6,13,9,13,12,13
1,7,"[2, 2, 2, 0, 0]",0.0,5,6,11,6,11,,not_applicable,False,0,0,7,2,7,5,9,2,7,3,6,1,6,11,7,11,6,12,8,13,11,13
1,8,"[1, 1, 3, 1, 0]",0.0,5,6,11,6,11,,not_applicable,False,0,0,7,1,6,5,10,2,8,3,6,2,6,11,8,11,6,13,9,13,10,13
1,9,"[0, 0, 0, 3, 0]",0.0,5,5,11,5,11,,not_applicable,False,0,0,6,1,7,5,10,3,7,3,7,2,5,11,7,11,5,13,9,13,10,13
1,10,"[4, 3, 3, 0, 1]",0.8100000023841858,5,5,11,5,11,,shot_successful,True,3,0,7,1,8,5,10,4,6,3,7,3,5,11,7,12,5,13,8,13,11,13
2,11,"[1, 1, 1, 3, 3]",0.0,5,5,13,5,13,,not_applicable,False,0,0,4,3,6,2,7,2,8,4,10,3,5,13,6,13,7,13,8,13,9,13
2,12,"[1, 3, 2, 0, 3]",0.0,5,5,13,5,13,,not_applicable,False,0,0,3,3,6,1,6,2,7,4,10,2,5,13,6,13,7,12,7,13,9,13
2,13,"[2, 2, 1, 0, 2]",0.0,5,5,12,5,12,,not_applicable,False,0,0,4,3,6,0,6,1,8,4,9,2,5,12,6,12,8,12,6,13,9,12
2,14,"[1, 2, 3, 0, 3]",0.0,5,5,12,5,12,,not_applicable,False,0,0,4,2,5,0,6,2,8,3,10,2,5,12,6,11,8,13,5,13,9,13
2,15,"[1, 1, 1, 2, 3]",0.0,5,6,12,6,12,,not_applicable,False,0,0,4,1,4,0,6,1,9,3,9,2,6,12,7,11,8,13,5,12,9,13
2,16,"[4, 0, 3, 1, 2]",0.7200000286102295,5,6,12,6,12,,shot_successful,True,3,0,5,1,5,0,6,0,9,4,8,2,6,12,6,11,8,13,5,12,9,12
3,17,"[5, 3, 1, 1, 2]",0.0,9,9,12,9,12,,not_applicable,False,0,0,4,3,6,4,7,2,8,4,9,4,5,13,6,13,7,13,8,13,9,12
3,18,"[3, 0, 0, 2, 2]",0.0,9,9,11,9,11,,not_applicable,False,0,0,5,3,6,3,8,2,7,4,9,5,5,13,6,13,7,13,8,12,9,11
3,19,"[3, 1, 1, 3, 4]",0.8100000023841858,9,9,11,9,11,,shot_successful,True,3,0,5,4,6,4,7,2,7,3,9,6,5,13,6,13,8,13,8,12,9,11
4,20,"[5, 3, 1, 3, 2]",0.0,9,9,12,9,12,,not_applicable,False,0,0,5,4,6,2,7,2,8,4,9,4,5,13,6,13,7,13,8,13,9,12
4,21,"[0, 0, 0, 1, 5]",0.0,8,9,13,9,13,,not_applicable,False,0,0,6,4,6,3,8,2,8,5,9,5,4,13,5,13,6,13,9,13,9,12
4,22,"[3, 1, 3, 5, 0]",0.0,7,6,13,6,13,,not_applicable,False,0,0,6,5,6,2,8,1,8,4,8,5,4,13,5,13,6,13,9,13,8,12
4,23,"[2, 1, 0, 1, 3]",0.0,7,6,13,6,13,,not_applicable,False,0,0,5,5,6,1,8,0,8,3,9,5,4,12,5,13,6,13,10,13,8,13
4,24,"[3, 1, 5, 0, 0]",0.0,6,5,13,5,13,,not_applicable,False,0,0,4,5,6,2,9,0,8,4,10,5,4,13,5,13,6,13,9,13,7,13
4,25,"[1, 4, 0, 1, 3]",0.0,6,5,13,5,13,,shot_failed,True,0,0,5,5,6,1,9,1,9,4,10,6,4,13,5,13,6,13,10,13,7,13
