episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,probability,shot,done,score_red,score_blue,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
0,1,"[3, 3, 2, 1, 1]",0.0,5,5,13,5,13,,not_applicable,False,0,0,5,2,5,3,7,2,7,3,9,2,5,13,6,13,7,12,8,13,10,13
0,2,"[0, 1, 0, 0, 2]",0.0,5,4,13,4,13,,not_applicable,False,0,0,6,2,4,3,8,2,6,3,10,2,4,13,7,13,6,12,8,13,10,12
0,3,"[2, 1, 3, 0, 1]",0.0,5,4,12,4,12,,not_applicable,False,0,0,6,1,4,2,7,2,6,4,11,2,4,12,7,13,6,13,8,13,11,12
0,4,"[5, 0, 0, 3, 2]",0.0,6,7,13,7,13,,not_applicable,False,0,0,6,2,4,3,7,3,6,3,10,2,4,12,7,13,5,13,8,13,11,11
0,5,"[0, 5, 3, 1, 0]",0.0,7,5,13,5,13,,not_applicable,False,0,0,5,2,3,3,7,2,6,4,9,2,3,12,7,13,5,13,9,13,10,11
0,6,"[0, 3, 4, 2, 3]",0.0,7,5,13,5,13,,shot_failed,True,0,0,4,2,4,3,6,2,5,4,9,1,2,12,7,13,5,13,9,12,10,12
1,7,"[2, 0, 1, 1, 2]",0.0,5,5,12,5,12,,not_applicable,False,0,0,4,3,6,4,7,2,8,2,9,4,5,12,5,13,7,13,8,13,9,12
1,8,"[4, 1, 3, 2, 0]",0.0,5,5,12,5,12,,shot_failed,True,0,0,4,4,7,4,7,3,9,2,8,4,5,12,6,13,7,13,8,12,9,12
2,9,"[1, 0, 0, 1, 1]",0.0,5,5,13,5,13,,not_applicable,False,0,0,4,3,6,4,6,3,7,3,9,4,5,13,6,13,7,13,8,13,10,13
2,10,"[2, 1, 2, 0, 3]",0.0,5,5,12,5,12,,not_applicable,False,0,0,4,4,5,4,5,3,7,2,10,4,5,12,6,13,7,12,7,13,10,13
2,11,"[0, 1, 3, 2, 1]",0.0,5,4,12,4,12,,not_applicable,False,0,0,4,3,6,4,6,3,6,2,9,4,4,12,6,13,7,12,7,13,11,13
2,12,"[4, 3, 2, 0, 0]",0.0,5,4,12,4,12,,shot_failed,True,0,0,3,3,5,4,7,3,6,1,8,4,4,12,6,13,7,11,7,13,10,13
3,13,"[5, 2, 0, 0, 1]",0.0,6,6,12,6,12,,not_applicable,False,0,0,5,4,6,4,7,2,8,4,9,4,5,13,6,12,6,13,7,13,10,13
3,14,"[0, 4, 1, 3, 2]",0.0,6,6,12,6,12,,shot_failed,True,0,0,4,4,7,4,7,3,8,3,10,4,4,13,6,12,6,13,7,13,10,12
4,15,"[5, 0, 3, 0, 1]",0.0,8,8,13,8,13,,not_applicable,False,0,0,4,3,5,3,7,2,7,3,9,2,5,13,6,13,7,13,8,13,10,13
4,16,"[1, 0, 3, 4, 0]",0.0,8,8,13,8,13,,shot_failed,True,0,0,3,3,5,2,7,1,7,2,8,2,5,13,6,13,7,13,8,13,9,13
5,17,"[0, 2, 0, 1, 1]",0.0,5,4,13,4,13,,not_applicable,False,0,0,4,3,5,3,6,3,8,2,9,2,4,13,6,12,6,13,8,13,10,13
5,18,"[1, 0, 2, 1, 3]",0.0,5,5,13,5,13,,not_applicable,False,0,0,4,4,5,4,6,2,8,3,8,2,5,13,5,12,6,12,9,13,10,13
5,19,"[5, 3, 3, 1, 1]",0.0,7,6,13,6,13,,not_applicable,False,0,0,3,4,6,4,6,3,8,4,9,2,5,13,5,12,6,13,9,13,11,13
5,20,"[1, 2, 5, 1, 3]",0.0,5,5,13,5,13,,not_applicable,False,0,0,4,4,6,5,5,3,8,3,10,2,5,13,5,11,6,13,10,13,11,13
5,21,"[1, 3, 2, 3, 3]",0.0,5,5,13,5,13,,not_applicable,False,0,0,4,5,6,6,5,4,8,2,11,2,5,13,5,12,6,12,10,13,11,13
5,22,"[0, 3, 2, 0, 0]",0.0,5,4,13,4,13,,not_applicable,False,0,0,3,5,7,6,5,5,8,1,12,2,4,13,5,13,6,11,9,13,10,13
5,23,"[0, 0, 3, 0, 3]",0.0,5,3,13,3,13,,not_applicable,False,0,0,2,5,8,6,5,6,9,1,12,1,3,13,4,13,6,12,8,13,10,13
5,24,"[0, 1, 0, 0, 2]",0.0,5,2,13,2,13,,not_applicable,False,0,0,1,5,7,6,6,6,8,1,12,0,2,13,5,13,5,12,7,13,10,12
5,25,"[4, 2, 2, 2, 3]",0.0,5,2,13,2,13,,shot_failed,True,0,0,0,5,7,7,6,7,9,1,13,0,2,13,5,13,5,11,7,12,10,13
6,26,"[1, 1, 3, 0, 0]",0.0,5,5,13,5,13,,not_applicable,False,0,0,4,3,6,4,7,2,8,2,8,3,5,13,6,13,7,13,8,13,9,13
6,27,"[4, 3, 3, 1, 1]",0.0,5,5,13,5,13,,shot_failed,True,0,0,4,2,5,4,7,3,7,2,8,2,5,13,6,13,7,13,8,13,10,13
7,28,"[2, 1, 0, 2, 2]",0.0,5,5,12,5,12,,not_applicable,False,0,0,5,4,5,3,7,2,8,2,9,2,5,12,6,13,7,13,8,12,9,12
7,29,"[5, 2, 3, 0, 1]",0.0,7,7,13,7,13,,not_applicable,False,0,0,6,4,5,4,7,1,8,3,9,3,5,12,6,12,7,13,7,12,10,12
7,30,"[0, 2, 0, 3, 1]",0.0,7,6,13,6,13,,not_applicable,False,0,0,6,5,6,4,7,2,7,3,10,3,4,12,6,11,6,13,7,13,11,12
7,31,"[2, 0, 1, 0, 0]",0.0,7,6,13,6,13,,not_applicable,False,0,0,6,6,6,3,8,2,8,3,10,4,4,11,5,11,6,13,7,13,10,12
7,32,"[3, 3, 1, 3, 3]",0.0,7,6,13,6,13,,not_applicable,False,0,0,6,7,7,3,9,2,8,4,11,4,4,12,5,12,6,13,7,13,10,13
