episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
0,1,"[2, 0, 2, 1, 2]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': np.float64(0.23257689450206726), 'final': np.float64(0.23257689450206726), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,2,5,3,7,4,8,2,9,4,5,12,5,13,7,12,8,13,9,12
0,2,"[2, 2, 1, 2, 1]",0.0,5,5,11,5,11,not_applicable,False,0,0,"{'base': np.float64(0.2656954111578556), 'final': np.float64(0.2656954111578556), 'penalty': 0, 'defense_count': 0, 'defenders': []}",6,2,6,3,8,4,7,2,9,5,5,11,5,12,8,12,8,13,10,12
0,3,"[4, 0, 1, 1, 3]",0.797086238861084,5,5,11,5,11,shot_successful,True,3,0,"{'base': np.float64(0.2656954111578556), 'final': np.float64(0.2656954111578556), 'penalty': 0, 'defense_count': 0, 'defenders': []}",6,1,6,2,9,4,7,3,10,5,5,11,4,12,9,12,9,13,10,13
1,4,"[4, 3, 2, 1, 3]",0.0,5,5,13,5,13,shot_failed,True,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,6,2,6,3,8,4,10,3,5,13,6,13,7,12,8,13,9,13
2,5,"[4, 0, 1, 0, 0]",0.0,5,5,13,5,13,shot_failed,True,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,6,4,6,3,8,4,10,3,5,13,6,13,7,13,8,13,9,13
3,6,"[2, 2, 3, 0, 1]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': np.float64(0.23257689450206726), 'final': np.float64(0.23257689450206726), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,2,6,2,7,2,8,2,10,3,5,12,6,12,7,13,8,13,10,13
3,7,"[1, 1, 1, 0, 1]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': np.float64(0.23257689450206726), 'final': np.float64(0.23257689450206726), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,1,5,2,7,3,8,1,9,3,5,12,7,12,7,13,8,13,11,13
3,8,"[0, 2, 1, 0, 1]",0.0,5,4,12,4,12,not_applicable,False,0,0,"{'base': np.float64(0.22618655352128306), 'final': np.float64(0.22618655352128306), 'penalty': 0, 'defense_count': 0, 'defenders': []}",6,1,5,1,6,3,9,1,9,2,4,12,7,11,7,13,8,13,12,13
3,9,"[5, 1, 1, 0, 1]",-1.0,5,4,12,4,12,intercepted_pass,True,0,0,"{'base': np.float64(0.22618655352128306), 'final': np.float64(0.22618655352128306), 'penalty': 0, 'defense_count': 0, 'defenders': []}",6,1,5,1,6,3,9,1,9,2,4,12,7,11,7,13,8,13,12,13
4,10,"[1, 1, 3, 0, 2]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,3,6,4,7,2,7,3,9,2,5,13,6,13,7,13,8,13,9,12
