episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,player_name,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
0,1,"[3, 0, 2, 0, 0]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,3,5,3,7,2,7,3,8,3,5,13,6,13,7,12,7,13,8,13
0,2,"[5, 1, 0, 3, 1]",0.0,8,7,13,7,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,4,2,6,3,6,2,7,2,8,2,5,13,6,13,6,12,7,13,9,13
0,3,"[2, 2, 2, 1, 1]",0.0,8,8,13,8,13,not_applicable,False,0,0,"{'base': 0.22, 'final': 0.22, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,5,2,7,3,6,3,6,2,8,1,5,12,6,13,6,11,8,13,10,13
0,4,"[3, 0, 1, 0, 2]",0.0,8,7,13,7,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,4,2,8,3,6,4,5,2,7,1,5,13,6,13,7,11,7,13,10,12
0,5,"[0, 2, 3, 0, 1]",0.0,8,6,13,6,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,3,2,8,4,5,4,5,3,6,1,4,13,6,12,7,12,6,13,11,12
0,6,"[0, 1, 1, 4, 1]",0.7799999713897705,8,6,13,6,13,shot_successful,True,3,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,4,2,9,4,5,5,5,4,6,2,3,13,6,12,8,12,6,13,12,12
1,7,"[3, 0, 2, 1, 2]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,2,6,4,6,3,8,4,10,3,5,13,6,13,7,12,8,13,9,12
1,8,"[1, 1, 1, 0, 0]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,3,5,4,7,3,8,3,10,4,5,13,7,13,8,12,8,13,9,12
1,9,"[3, 1, 3, 1, 3]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,3,6,4,6,3,9,3,9,4,5,13,7,13,8,12,9,13,9,12
1,10,"[0, 0, 0, 3, 0]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,3,7,4,6,4,8,3,10,4,4,13,6,13,7,12,9,13,8,12
1,11,"[1, 1, 0, 0, 0]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,2,7,3,7,4,8,2,10,3,5,13,7,13,6,12,8,13,7,12
1,12,"[0, 0, 2, 3, 0]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,3,7,2,8,4,8,3,9,3,4,13,6,13,6,11,8,13,6,12
1,13,"[0, 2, 1, 1, 0]",0.0,5,3,13,3,13,not_applicable,False,0,0,"{'base': 0.28, 'final': 0.28, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,6,3,7,3,8,5,8,4,10,3,3,13,6,13,7,11,9,13,5,12
