episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,player_name,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
0,1,"[4, 0, 3, 0, 0]",0.0,5,5,13,5,13,shot_failed,True,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,2,6,2,6,3,8,2,8,3,5,13,6,13,7,13,8,13,9,13
1,2,"[0, 3, 3, 2, 2]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,2,5,3,6,3,8,4,10,3,4,13,6,13,7,13,8,12,9,12
1,3,"[0, 1, 3, 0, 0]",0.0,5,3,13,3,13,not_applicable,False,0,0,"{'base': 0.28, 'final': 0.28, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,1,5,2,6,2,8,5,11,3,3,13,6,13,7,13,7,12,8,12
1,4,"[2, 3, 1, 3, 3]",0.0,5,3,12,3,12,not_applicable,False,0,0,"{'base': 0.28, 'final': 0.28, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,0,4,2,6,1,9,5,12,3,3,12,6,13,8,13,7,13,8,12
1,5,"[3, 2, 3, 2, 2]",0.0,5,3,13,3,13,not_applicable,False,0,0,"{'base': 0.28, 'final': 0.28, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,0,5,2,6,0,8,5,12,2,3,13,6,12,8,13,7,12,8,11
1,6,"[4, 0, 0, 0, 2]",0.8399999737739563,5,3,13,3,13,shot_successful,True,3,0,"{'base': 0.28, 'final': 0.28, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,3,0,6,2,6,1,9,5,13,2,3,13,5,12,7,13,6,12,8,10
2,7,"[0, 1, 2, 0, 3]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,4,6,4,7,4,7,3,10,3,4,13,6,13,7,12,7,13,9,13
2,8,"[0, 1, 1, 0, 2]",0.0,5,3,13,3,13,not_applicable,False,0,0,"{'base': 0.28, 'final': 0.28, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,5,6,5,7,5,7,4,11,3,3,13,6,13,8,12,7,13,9,12
2,9,"[3, 0, 3, 3, 1]",0.0,5,3,13,3,13,not_applicable,False,0,0,"{'base': 0.28, 'final': 0.28, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,4,6,6,8,5,8,4,11,2,3,13,5,13,8,13,7,13,10,12
2,10,"[4, 1, 3, 1, 0]",0.8399999737739563,5,3,13,3,13,shot_successful,True,3,0,"{'base': 0.28, 'final': 0.28, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,3,5,6,7,5,8,3,11,3,3,13,6,13,8,13,7,13,9,12
3,11,"[2, 3, 0, 3, 2]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,4,6,2,7,4,8,2,8,3,5,12,6,13,7,13,8,13,9,12
3,12,"[3, 1, 1, 3, 3]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,3,5,2,7,3,9,2,9,3,5,13,6,13,7,13,8,13,9,13
3,13,"[0, 0, 1, 3, 3]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,4,4,2,7,4,9,1,8,3,4,13,5,13,7,13,8,13,9,13
